Communication,Group,Player,VL_PP1,VL_PP2,VL_PP3,Sigma,Alpha,Lambda,LC_1,LC_2,LC_3,LC_4,LC_5,LC_6,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_15,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,HC_13,HC_14,HC_15,LO_1,LO_2,LO_3,LO_4,LO_5,LO_6,LO_7,LO_8,LO_9,LO_10,LO_11,LO_12,LO_13,LO_14,LO_15,HO_1,HO_2,HO_3,HO_4,HO_5,HO_6,HO_7,HO_8,HO_9,HO_10,HO_11,HO_12,HO_13,HO_14,HO_15,LP_1,LP_2,LP_3,LP_4,LP_5,LP_6,LP_7,LP_8,LP_9,LP_10,LP_11,LP_12,LP_13,LP_14,LP_15,HP_1,HP_2,HP_3,HP_4,HP_5,HP_6,HP_7,HP_8,HP_9,HP_10,HP_11,HP_12,HP_13,HP_14,HP_15,RA,LA,ST_P1,ST_P2,ST_P3,ST_P4,GT_I1,GT_I2,GT_I3,GT_I4,GT_I5,GT_I6,GT_I7,GT_I8,GT_I9,Strategy
No Communication,1,1,10,14,3,0.2,0.5,4.533,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-5,10,10,20,10,20,10,20,20,10,10,20,10,-5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,7,NA,3,3,3,3,4,4,3,4,4,4,4,5,3
No Communication,1,2,8,13,2,0.35,0.45,3.081,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-5,20,10,20,20,20,20,20,20,20,20,20,20,-5,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,4,4,5,3,NA,4,4,4,2,4,4,4,4,4,4
No Communication,1,3,9,15,3,0.2,0.4,4.355,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-5,10,20,20,10,20,20,20,10,20,20,20,20,-5,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,2,7,1,NA,2,2,4,3,3,4,4,5,4,4,4,3
No Communication,1,4,7,13,8,0.4,0.4,21.538,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-15,10,20,10,20,10,10,20,10,20,20,10,20,-5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,5,3,2,NA,2,3,3,3,4,2,4,4,4,5,5
No Communication,2,1,14,14,6,0.1,0.7,15.004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,-5,10,20,20,20,-5,-5,-5,20,20,20,20,20,20,20,10,20,-5,-15,10,20,-5,20,20,-5,20,20,20,20,-5,1,4,NA,3,1,4,3,1,2,2,3,2,3,3,4,2
No Communication,2,2,11,15,7,0.1,0.45,24.061,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,-5,20,10,20,20,-5,-5,-15,20,20,20,20,10,20,20,10,20,-5,-15,10,20,-5,10,20,-5,10,20,20,10,-5,2,5,1,2,NA,2,3,3,3,3,4,4,4,3,4,3
No Communication,2,3,7,10,4,0.55,0.55,5.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,-5,20,20,20,20,-5,-5,-5,20,20,20,20,20,20,20,10,10,-15,-5,10,10,-15,20,20,-5,20,20,20,20,-5,0,5,3,NA,3,4,4,3,4,3,4,4,4,3,4,1
No Communication,2,4,10,10,8,0.4,0.7,24.37,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,-5,20,20,20,10,-5,-5,-15,20,10,20,20,20,20,10,20,20,-5,-15,20,10,-5,10,20,-15,20,20,20,20,-5,2,6,4,4,4,NA,4,4,4,2,4,4,4,4,4,1
No Communication,3,1,9,15,7,0.2,0.4,22.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,20,-5,-5,-5,20,20,-5,-5,20,20,-5,20,20,20,20,20,-5,-5,20,-5,20,20,20,-5,20,20,-5,20,20,-5,0,5,NA,1,2,1,4,3,3,4,5,5,5,4,5,3
No Communication,3,2,6,12,6,0.5,0.4,11.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,20,-5,-5,-5,20,20,-5,-5,20,20,-5,20,20,20,20,10,-5,-5,20,-5,20,20,20,-5,20,20,-5,20,20,-5,0,2,1,NA,2,1,2,2,1,3,3,1,4,4,5,3
No Communication,3,3,11,13,8,0.2,0.6,24.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,20,-5,-5,-5,20,20,-5,-5,20,20,-5,20,20,20,20,20,-5,-5,10,-5,20,20,20,-5,20,20,-5,20,20,-5,1,4,1,2,NA,1,4,4,4,3,4,4,3,3,4,1
No Communication,3,4,9,15,5,0.2,0.4,10.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,20,-5,-5,-5,20,20,-5,-5,20,20,-5,20,20,20,20,10,-5,-15,20,-15,20,10,20,-5,20,20,-15,20,20,-5,2,5,2,2,3,NA,4,3,4,3,4,5,4,2,4,3
No Communication,4,1,15,10,5,0.2,0.95,12.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,20,-5,20,-5,20,-5,-5,20,20,20,-5,20,-5,20,20,-15,-15,-5,-5,20,-5,-5,20,-5,-5,-5,20,-5,-5,-5,0,6,1,3,1,NA,2,3,4,3,2,5,4,5,5,1
No Communication,4,2,9,14,7,0.25,0.4,22.308,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,20,-5,20,-5,20,-5,-5,20,20,10,-5,20,-5,20,20,-5,-5,-5,-5,20,-15,-5,20,-5,-5,-5,20,-5,-5,-5,2,5,1,NA,1,2,2,3,3,4,4,5,5,5,4,1
No Communication,4,3,4,15,8,0.4,1.25,31.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,20,-5,20,-5,20,-5,-5,20,20,20,-5,20,-5,20,20,-5,-5,-5,-5,20,-5,-5,20,-5,-5,-5,20,-15,-5,-5,1,5,1,3,NA,2,3,3,4,3,2,4,5,3,2,3
No Communication,4,4,9,13,4,0.35,0.5,5.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,20,-5,20,-5,20,-5,-5,20,20,20,-5,20,-5,20,20,-15,-5,-5,-15,10,-15,-5,20,-5,-5,-5,20,-5,-5,-5,0,5,NA,3,1,4,4,3,3,4,4,3,4,4,5,1
No Communication,5,1,1,9,8,0.9,0.3,21.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,20,20,20,-5,20,20,20,20,-5,-5,-5,-5,-5,20,-5,20,-5,20,20,-5,-5,-5,20,20,20,20,20,-5,20,-5,0,7,2,3,3,NA,2,2,3,4,5,5,5,5,5,3
No Communication,5,2,10,12,8,0.3,0.6,23.859,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,10,20,20,-5,20,20,20,20,-5,-5,-5,-5,-5,20,-5,10,-15,10,10,-5,-5,-15,20,20,20,10,20,-15,20,-5,2,4,2,NA,5,3,3,2,3,2,3,4,4,5,4,3
No Communication,5,3,12,15,8,0.1,0.55,25.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,20,20,20,-5,20,20,20,20,-5,-5,-5,-5,-5,20,-5,10,-15,20,20,-5,-5,-5,10,20,20,20,20,-5,20,-5,2,5,NA,2,1,3,5,5,5,4,5,5,4,4,5,3
No Communication,5,4,15,12,1,0.1,0.85,0.343,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,20,20,20,-5,20,20,20,20,-5,-5,-15,-15,-5,20,-5,20,-5,10,20,-5,-5,-5,10,10,20,20,20,-5,20,-5,2,5,2,2,NA,3,2,2,3,3,3,4,4,3,5,3
No Communication,6,1,12,15,7,0.1,0.55,25.058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,10,10,-15,10,10,10,10,10,10,10,10,10,10,-15,-5,10,10,10,10,10,10,-15,-15,10,10,10,10,10,10,2,6,5,5,NA,5,2,2,3,4,4,2,5,5,5,5
No Communication,6,2,9,15,5,0.2,0.4,10.027,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,10,10,-5,20,10,10,10,10,20,10,10,10,20,-15,-15,10,10,10,20,10,10,-5,-5,10,10,10,20,10,20,2,6,1,1,2,NA,4,3,2,4,1,5,4,4,5,1
No Communication,6,3,1,1,1,1.5,0.6,1.121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,10,10,-15,10,10,10,10,10,10,10,10,10,10,-15,-15,10,10,10,10,10,10,-15,-15,10,10,10,10,10,10,1,1,NA,4,3,4,4,4,4,4,4,4,3,4,5,5
No Communication,6,4,8,15,6,0.25,0.35,12.072,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,10,20,-5,10,20,10,20,20,10,20,20,10,20,-5,-5,20,10,20,20,10,20,-5,-15,20,10,20,10,20,10,1,3,2,NA,3,3,4,2,3,4,3,4,2,3,3,2
No Communication,7,1,7,12,4,0.45,0.45,5.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,20,20,20,-5,-5,20,-5,-5,-5,-5,-5,-5,20,-5,20,10,20,-15,-5,-5,-15,-5,20,20,20,20,-5,-5,-15,20,1,5,2,3,1,NA,3,3,3,3,2,4,2,2,5,1
No Communication,7,2,14,11,7,0.15,0.85,27.909,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,20,20,20,-5,-5,20,-5,-5,-15,-5,-5,-5,20,-5,10,20,20,-5,-15,-5,-5,-5,10,20,10,20,-15,-5,-15,10,0,7,3,NA,3,4,3,2,2,2,3,4,4,4,4,6
No Communication,7,3,1,15,8,0.5,1.45,34.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,20,20,20,-5,-5,20,-5,-5,-5,-5,-5,-5,20,-5,20,20,10,-5,-5,-15,-5,-5,20,20,20,20,-5,-5,-5,20,2,5,2,3,NA,1,3,3,3,2,3,3,2,4,3,1
No Communication,7,4,8,15,5,0.95,0.35,8.229,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,20,20,20,-5,-5,20,-5,-5,-5,-15,-5,-5,20,-5,20,20,20,-5,-5,-15,-15,-5,20,20,20,20,-5,-5,-5,20,2,6,NA,5,1,4,4,4,4,2,4,4,2,5,4,1
No Communication,8,1,1,1,1,1.5,0.6,1.121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,-15,10,10,10,10,-15,10,10,-15,-15,10,10,-15,10,10,10,10,10,-15,-15,10,10,10,10,-15,10,-15,10,10,10,2,5,1,NA,3,3,2,2,2,2,4,2,4,4,5,6
No Communication,8,2,15,3,5,0.45,1.3,13.435,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,-15,10,20,10,20,-5,10,20,-5,-15,20,20,-5,20,20,10,10,20,-15,-5,10,10,10,10,-5,20,-5,10,20,20,1,6,1,3,3,NA,3,4,4,4,5,5,4,4,5,6
No Communication,8,3,7,10,3,0.55,0.55,4.239,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,-5,20,20,20,20,-15,20,10,-5,-5,20,20,-5,20,20,10,20,10,-5,-15,10,10,10,20,-15,10,-15,10,20,20,1,1,2,1,NA,1,3,3,4,4,4,5,4,4,4,3
No Communication,8,4,3,15,6,0.4,0.1,10.417,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,-5,20,10,20,10,-5,20,10,-5,-5,20,10,-5,20,20,10,10,10,-5,-15,10,10,10,10,-5,10,-5,20,10,10,2,5,NA,5,5,5,3,3,3,3,4,4,4,2,4,3
No Communication,9,1,8,15,7,0.25,0.35,21.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,-5,-5,20,-5,-5,20,-5,20,-5,-5,-5,-5,20,-5,-5,-15,10,10,10,10,-15,20,-15,-5,20,-15,-5,-15,10,10,1,2,1,3,NA,3,4,4,4,4,4,4,3,2,3,5
No Communication,9,2,11,10,3,0.35,0.7,4.699,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,-5,-15,10,-15,-5,20,-5,20,-5,-5,-5,-5,20,-5,-5,-5,10,20,10,20,-5,10,-5,-5,20,-5,-5,-5,20,20,2,6,NA,3,4,4,3,3,3,4,4,5,3,4,3,3
No Communication,9,3,11,12,7,0.25,0.65,24.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,-5,-5,20,-5,-5,20,-5,20,-5,-5,-5,-5,20,-5,-5,-5,10,10,10,20,-5,20,-5,-5,20,-5,-5,-5,20,20,0,5,4,NA,4,2,3,3,4,4,4,4,4,2,5,3
No Communication,9,4,9,14,8,0.25,0.45,22.755,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,-15,-5,20,-5,-5,20,-5,20,-5,-5,-5,-5,20,-5,-5,-15,10,10,10,10,-5,10,-15,-15,10,-15,-15,-15,20,20,2,7,5,3,4,NA,3,3,5,4,4,4,3,3,4,5
No Communication,10,1,9,12,8,0.35,0.55,23.098,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,-5,-5,10,-15,-5,20,20,10,-5,10,10,-5,20,-5,20,-15,10,10,20,10,10,10,-5,-15,20,-15,20,-15,-5,-5,2,5,2,NA,5,1,4,2,4,2,5,4,4,3,4,5
No Communication,10,2,9,12,5,0.35,0.55,9.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,-5,-5,20,-5,-5,20,20,20,-5,20,20,-5,20,-5,20,-15,10,20,20,20,20,20,-5,-5,20,-5,20,-5,-5,-5,0,3,2,2,NA,2,2,3,4,4,4,4,3,3,5,3
No Communication,10,3,12,15,4,0.1,0.55,5.844,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,-5,-5,20,-5,-5,20,10,20,-5,20,20,-5,20,-5,20,-5,20,20,20,20,20,20,-5,-5,20,-5,20,-5,-5,-5,0,2,4,2,2,NA,3,2,3,4,4,4,4,4,4,1
No Communication,10,4,11,14,5,0.15,0.55,10.957,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,-5,-5,20,-5,-5,10,20,20,-15,20,20,-5,20,-5,20,-15,20,20,10,20,20,20,-5,-15,20,-5,20,-5,-5,-5,2,7,NA,3,2,5,1,1,2,2,3,4,5,4,5,3
No Communication,11,1,15,15,8,0.05,0.6,26.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-5,20,-5,20,20,20,20,-5,-5,20,-5,20,-5,-5,20,10,20,-15,20,20,-5,-5,20,20,20,20,20,20,20,20,2,4,NA,1,1,2,4,4,4,4,4,4,4,4,4,3
No Communication,11,2,12,15,8,0.1,0.55,25.058,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-5,10,-15,20,20,20,20,-5,-15,20,-5,20,-5,-5,20,10,20,-15,10,10,-5,-5,10,20,10,20,20,10,20,20,2,4,4,2,NA,3,2,2,4,4,3,4,2,4,3,1
No Communication,11,3,8,15,5,0.25,0.35,9.581,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-5,10,-5,20,20,20,20,-5,-5,20,-5,20,-5,-5,20,10,10,-5,20,10,-5,-5,10,20,20,20,20,20,20,20,2,4,1,5,4,NA,3,2,4,3,4,4,3,3,4,2
No Communication,11,4,11,15,7,0.1,0.45,24.061,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-5,20,-15,20,20,10,20,-5,-5,20,-5,20,-5,-5,20,10,10,-5,10,10,-15,-15,10,10,20,10,20,10,10,20,2,5,1,NA,3,4,4,2,2,4,4,4,4,4,4,1
No Communication,12,1,10,15,7,0.15,0.45,23.562,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,-5,20,-5,-5,10,-15,-5,-5,-15,20,20,20,20,20,-5,-5,10,10,10,-5,-15,10,-15,20,20,20,20,20,-5,-5,2,5,2,NA,4,5,2,2,3,3,3,3,4,5,5,1
No Communication,12,2,13,11,6,0.2,0.8,14.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,-5,20,-5,-5,20,-5,-5,-5,-5,20,20,20,20,20,-5,-5,10,10,10,-15,-15,20,-5,20,20,20,20,20,-5,-5,2,2,NA,3,4,5,4,2,3,2,4,5,4,4,3,3
